museum,year,month,visits
TOTAL VISITOR FIGURES,2004,4,0
TOTAL VISITOR FIGURES,2004,5,0
TOTAL VISITOR FIGURES,2004,6,0
TOTAL VISITOR FIGURES,2004,7,0
TOTAL VISITOR FIGURES,2004,8,0
TOTAL VISITOR FIGURES,2004,9,0
TOTAL VISITOR FIGURES,2004,10,0
TOTAL VISITOR FIGURES,2004,11,0
TOTAL VISITOR FIGURES,2004,12,0
TOTAL VISITOR FIGURES,2005,1,0
TOTAL VISITOR FIGURES,2005,2,0
TOTAL VISITOR FIGURES,2005,3,0
TOTAL VISITOR FIGURES,2005,4,0
TOTAL VISITOR FIGURES,2005,5,0
TOTAL VISITOR FIGURES,2005,6,0
TOTAL VISITOR FIGURES,2005,7,0
TOTAL VISITOR FIGURES,2005,8,0
TOTAL VISITOR FIGURES,2005,9,0
TOTAL VISITOR FIGURES,2005,10,0
TOTAL VISITOR FIGURES,2005,11,0
TOTAL VISITOR FIGURES,2005,12,0
TOTAL VISITOR FIGURES,2006,1,0
TOTAL VISITOR FIGURES,2006,2,0
TOTAL VISITOR FIGURES,2006,3,0
TOTAL VISITOR FIGURES,2006,4,0
TOTAL VISITOR FIGURES,2006,5,0
TOTAL VISITOR FIGURES,2006,6,0
TOTAL VISITOR FIGURES,2006,7,0
TOTAL VISITOR FIGURES,2006,8,0
TOTAL VISITOR FIGURES,2006,9,0
TOTAL VISITOR FIGURES,2006,10,0
TOTAL VISITOR FIGURES,2006,11,0
TOTAL VISITOR FIGURES,2006,12,0
TOTAL VISITOR FIGURES,2007,1,0
TOTAL VISITOR FIGURES,2007,2,0
TOTAL VISITOR FIGURES,2007,3,0
TOTAL VISITOR FIGURES,2007,4,0
TOTAL VISITOR FIGURES,2007,5,0
TOTAL VISITOR FIGURES,2007,6,0
TOTAL VISITOR FIGURES,2007,7,0
TOTAL VISITOR FIGURES,2007,8,0
TOTAL VISITOR FIGURES,2007,9,0
TOTAL VISITOR FIGURES,2007,10,0
TOTAL VISITOR FIGURES,2007,11,0
TOTAL VISITOR FIGURES,2007,12,0
TOTAL VISITOR FIGURES,2008,1,0
TOTAL VISITOR FIGURES,2008,2,0
TOTAL VISITOR FIGURES,2008,3,0
TOTAL VISITOR FIGURES,2008,4,"3,312,345"
TOTAL VISITOR FIGURES,2008,5,"3,285,391"
TOTAL VISITOR FIGURES,2008,6,"3,034,749"
TOTAL VISITOR FIGURES,2008,7,"3,969,339"
TOTAL VISITOR FIGURES,2008,8,"4,861,537"
TOTAL VISITOR FIGURES,2008,9,"2,850,841"
TOTAL VISITOR FIGURES,2008,10,"3,636,199"
TOTAL VISITOR FIGURES,2008,11,"2,931,706"
TOTAL VISITOR FIGURES,2008,12,"2,499,800"
TOTAL VISITOR FIGURES,2009,1,"2,785,923"
TOTAL VISITOR FIGURES,2009,2,"3,153,752"
TOTAL VISITOR FIGURES,2009,3,"3,346,689"
TOTAL VISITOR FIGURES,2009,4,"3,637,402"
TOTAL VISITOR FIGURES,2009,5,"3,442,322"
TOTAL VISITOR FIGURES,2009,6,"3,148,834"
TOTAL VISITOR FIGURES,2009,7,"4,143,547"
TOTAL VISITOR FIGURES,2009,8,"4,699,363"
TOTAL VISITOR FIGURES,2009,9,"3,015,932"
TOTAL VISITOR FIGURES,2009,10,"3,785,852"
TOTAL VISITOR FIGURES,2009,11,"2,996,818"
TOTAL VISITOR FIGURES,2009,12,"2,722,890"
TOTAL VISITOR FIGURES,2010,1,"2,880,185"
TOTAL VISITOR FIGURES,2010,2,"3,486,113"
TOTAL VISITOR FIGURES,2010,3,"3,490,065"
TOTAL VISITOR FIGURES,2010,4,"3,767,428"
TOTAL VISITOR FIGURES,2010,5,"3,654,154"
TOTAL VISITOR FIGURES,2010,6,"3,364,215"
TOTAL VISITOR FIGURES,2010,7,"4,416,491"
TOTAL VISITOR FIGURES,2010,8,"5,130,433"
TOTAL VISITOR FIGURES,2010,9,"3,156,509"
TOTAL VISITOR FIGURES,2010,10,"4,100,724"
TOTAL VISITOR FIGURES,2010,11,"3,071,627"
TOTAL VISITOR FIGURES,2010,12,"2,463,997"
TOTAL VISITOR FIGURES,2011,1,"3,024,445"
TOTAL VISITOR FIGURES,2011,2,"3,534,827"
TOTAL VISITOR FIGURES,2011,3,"3,440,533"
TOTAL VISITOR FIGURES,2011,4,"3,540,568"
TOTAL VISITOR FIGURES,2011,5,"3,247,811"
TOTAL VISITOR FIGURES,2011,6,"3,449,439"
TOTAL VISITOR FIGURES,2011,7,"4,653,890"
TOTAL VISITOR FIGURES,2011,8,"4,944,777"
TOTAL VISITOR FIGURES,2011,9,"3,222,540"
TOTAL VISITOR FIGURES,2011,10,"4,013,545"
TOTAL VISITOR FIGURES,2011,11,"2,989,311"
TOTAL VISITOR FIGURES,2011,12,"2,895,227"
TOTAL VISITOR FIGURES,2012,1,"3,180,980"
TOTAL VISITOR FIGURES,2012,2,"3,722,433"
TOTAL VISITOR FIGURES,2012,3,"3,643,451"
TOTAL VISITOR FIGURES,2012,4,"4,838,882"
TOTAL VISITOR FIGURES,2012,5,"3,771,395"
TOTAL VISITOR FIGURES,2012,6,"4,044,061"
TOTAL VISITOR FIGURES,2012,7,"4,109,281"
TOTAL VISITOR FIGURES,2012,8,"4,495,382"
TOTAL VISITOR FIGURES,2012,9,"3,664,683"
TOTAL VISITOR FIGURES,2012,10,"4,110,254"
TOTAL VISITOR FIGURES,2012,11,"3,521,885"
TOTAL VISITOR FIGURES,2012,12,"3,054,901"
TOTAL VISITOR FIGURES,2013,1,"3,020,211"
TOTAL VISITOR FIGURES,2013,2,"3,897,802"
TOTAL VISITOR FIGURES,2013,3,"4,482,450"
TOTAL VISITOR FIGURES,2013,4,"4,464,545"
TOTAL VISITOR FIGURES,2013,5,"4,338,696"
TOTAL VISITOR FIGURES,2013,6,"3,986,776"
TOTAL VISITOR FIGURES,2013,7,"4,868,366"
TOTAL VISITOR FIGURES,2013,8,"5,340,599"
TOTAL VISITOR FIGURES,2013,9,"3,700,262"
TOTAL VISITOR FIGURES,2013,10,"4,144,185"
TOTAL VISITOR FIGURES,2013,11,"3,385,428"
TOTAL VISITOR FIGURES,2013,12,"3,123,180"
TOTAL VISITOR FIGURES,2014,1,"3,314,726"
TOTAL VISITOR FIGURES,2014,2,"4,092,236"
TOTAL VISITOR FIGURES,2014,3,"4,068,545"
TOTAL VISITOR FIGURES,2014,4,"4,585,324"
TOTAL VISITOR FIGURES,2014,5,"4,453,059"
TOTAL VISITOR FIGURES,2014,6,"4,086,691"
TOTAL VISITOR FIGURES,2014,7,"4,957,581"
TOTAL VISITOR FIGURES,2014,8,"5,902,931"
TOTAL VISITOR FIGURES,2014,9,"3,796,009"
TOTAL VISITOR FIGURES,2014,10,"4,508,231"
TOTAL VISITOR FIGURES,2014,11,"3,695,648"
TOTAL VISITOR FIGURES,2014,12,"3,338,681"
TOTAL VISITOR FIGURES,2015,1,"3,491,444"
TOTAL VISITOR FIGURES,2015,2,"3,931,629"
TOTAL VISITOR FIGURES,2015,3,"4,093,317"
TOTAL VISITOR FIGURES,2015,4,"4,269,972"
TOTAL VISITOR FIGURES,2015,5,"4,353,695"
TOTAL VISITOR FIGURES,2015,6,"3,881,545"
TOTAL VISITOR FIGURES,2015,7,"4,959,664"
TOTAL VISITOR FIGURES,2015,8,"5,056,744"
TOTAL VISITOR FIGURES,2015,9,"3,568,633"
